objectName,fieldName,dataType,version,description
O_Runway,description,string,Flight-0.41,"跑道本体，描述机场跑道的物理属性、仪表着陆等级和运行状态。在现实世界中对应机场内供飞机起飞和降落的铺装地带，通过跑道编号（如01L/19R）标识方向，具备长度、宽度、道面类型等物理特征，并受CAT等级限制其全天候运行能力。"
O_Gate,gateId,string,Flight-0.41,登机口唯一标识符
O_Gate,gateNumber,string,Flight-0.41,"登机口编号，如T3-52"
O_Gate,terminal,string,Flight-0.41,"所属航站楼，如T1、T2、T3"
O_Gate,gateType,enum,Flight-0.41,登机口类型：Contact（廊桥）、Remote（远机位）
O_Gate,aircraftCategories,array<string>,Flight-0.41,"适用飞机类别列表，如[A320, B737, A321]"
O_Gate,status,enum,Flight-0.41,登机口状态：Available（可用）、Occupied（占用中）、Closed（关闭）、Maintenance（维护中）
O_Gate,objectLayer,string,Flight-0.41,固定值Ontology
O_Gate,version,string,Flight-0.41,版本号
O_Gate,description,string,Flight-0.41,"登机口本体，描述航站楼登机口的类型、位置和适配机型范围。在现实世界中对应航站楼内旅客登机的物理接口，分为廊桥登机口（Contact）和远机位登机口（Remote），每个登机口有固定的航站楼归属和机型适配限制。"
O_ParkingStand,standId,string,Flight-0.41,机位唯一标识符
O_ParkingStand,standNumber,string,Flight-0.41,机位编号
O_ParkingStand,standCategory,string,Flight-0.41,机位类别描述
O_ParkingStand,standType,enum,Flight-0.41,机位类型：Contact（接触式）、Remote（远机位）、Cargo（货运）
O_ParkingStand,aircraftCategories,array<string>,Flight-0.41,适用飞机类别列表
O_ParkingStand,status,enum,Flight-0.41,机位状态：Available（可用）、Occupied（占用中）、Reserved（预留）、Maintenance（维护中）
O_ParkingStand,objectLayer,string,Flight-0.41,固定值Ontology
O_ParkingStand,version,string,Flight-0.41,版本号
O_ParkingStand,description,string,Flight-0.41,"机位本体，描述停机坪上飞机停放位置的类型和适用机型范围。在现实世界中对应机场停机坪上标识的飞机停放区域，根据停放方式分为接触式机位、远机位和货运机位，每个机位有机型类别限制（如窄体机、宽体机）。"
O_Aircraft,aircraftId,string,Flight-0.41,飞机唯一标识符
O_Aircraft,registration,string,Flight-0.41,"飞机注册号，如B-1234"
O_Aircraft,aircraftType,string,Flight-0.41,"飞机型号，如A320-200、B737-800"
O_Aircraft,aircraftCategory,string,Flight-0.41,"飞机类别，如窄体机、宽体机"
O_Aircraft,operator,string,Flight-0.41,运营航空公司
O_Aircraft,status,enum,Flight-0.41,飞机状态：InService（在役）、Maintenance（维护中）、AOG（停场）、Parked（停放）
O_Aircraft,currentLocation,string,Flight-0.41,当前位置（机场代码或机位编号）
O_Aircraft,objectLayer,string,Flight-0.41,固定值Ontology
O_Aircraft,version,string,Flight-0.41,版本号
O_Aircraft,description,string,Flight-0.41,"飞机本体，描述民航飞机的注册信息、型号分类和当前运行状态。在现实世界中对应具备适航证的民用航空器实体，通过机身注册号全球唯一标识，具备型号（如A320、B737）、运营人、当前位置和技术状态（在役、维修、AOG停场）等属性。"
O_Actor,actorId,string,Flight-0.41,行为主体唯一标识符
O_Actor,actorType,string,Flight-0.41,"主体类型，如Tower、ATCUnit、ExternalSystem"
O_Actor,actorName,string,Flight-0.41,主体名称
O_Actor,contactInfo,string,Flight-0.41,联系方式（频率、接口地址等）
O_Actor,objectLayer,string,Flight-0.41,固定值Ontology
O_Actor,version,string,Flight-0.41,版本号
O_Actor,description,string,Flight-0.41,"行为主体的抽象基类，表示在航班运行场景中能够主动执行动作、发出指令或产生事件的实体。在现实世界中对应具备决策能力和执行权限的组织单元或信息系统，包括空管单位、塔台、外部业务系统等。"
O_Tower,towerId,string,Flight-0.41,塔台唯一标识符
O_Tower,towerName,string,Flight-0.41,塔台名称
O_Tower,region,string,Flight-0.41,"管辖区域，如Terminal 1、East Apron"
O_Tower,controlType,enum,Flight-0.41,管制类型：Ground（地面）、Tower（塔台）、Approach（进近）
O_Tower,frequency,string,Flight-0.41,"通信频率，如118.5 MHz"
O_Tower,objectLayer,string,Flight-0.41,固定值Ontology
O_Tower,version,string,Flight-0.41,版本号
O_Tower,description,string,Flight-0.41,"塔台本体，描述机场塔台管制单位的管辖范围和通信频率。在现实世界中对应机场塔台实体，负责地面滑行、起飞降落的指挥管制，按照管制类型分为地面管制（Ground）、塔台管制（Tower）和进近管制（Approach），通过无线电频率与航班通信。"
O_ATCUnit,unitId,string,Flight-0.41,管制单元唯一标识符
O_ATCUnit,unitName,string,Flight-0.41,管制单元名称
O_ATCUnit,controlArea,string,Flight-0.41,管制区域描述
O_ATCUnit,unitType,enum,Flight-0.41,单元类型：Approach（进近）、Departure（离场）、Enroute（航路）、Ground（地面）
O_ATCUnit,sector,string,Flight-0.41,所属扇区
O_ATCUnit,objectLayer,string,Flight-0.41,固定值Ontology
O_ATCUnit,version,string,Flight-0.41,版本号
O_ATCUnit,description,string,Flight-0.41,"管制单元本体，描述空中交通管制单位的职责分区和管辖空域。在现实世界中对应区域管制中心或终端管制区实体，按职能分为进近管制、离场管制、航路管制和地面管制，每个单元管理特定的空域扇区。"
O_ExternalSystem,systemId,string,Flight-0.41,系统唯一标识符
O_ExternalSystem,systemName,string,Flight-0.41,系统名称
O_ExternalSystem,systemType,enum,Flight-0.41,系统类型：AODB（机场运营数据库）、FOC（运控）、MRO（维修）、ADS（航空数据系统）、ATFM（流量管理）、CDM（协同决策）
O_ExternalSystem,vendor,string,Flight-0.41,系统供应商
O_ExternalSystem,apiEndpoint,string,Flight-0.41,API接口地址
O_ExternalSystem,objectLayer,string,Flight-0.41,固定值Ontology
O_ExternalSystem,version,string,Flight-0.41,版本号
O_ExternalSystem,description,string,Flight-0.41,"外部系统本体，描述与航班运行相关的信息系统的类型和接口。在现实世界中对应机场运营数据库（AODB）、航班运行控制（FOC）、维修系统（MRO）、协同决策系统（CDM）、空管流量管理（ATFM）等业务系统，这些系统产生事件并驱动业务流程。"
O_FlightPlan,planId,string,Flight-0.41,航班计划唯一标识符
O_FlightPlan,flightNumber,string,Flight-0.41,"航班号，如CA123"
O_FlightPlan,origin,string,Flight-0.41,起飞机场代码（ICAO或IATA）
O_FlightPlan,destination,string,Flight-0.41,目的地机场代码
O_FlightPlan,STD,datetime,Flight-0.41,计划起飞时间（Scheduled Time of Departure）
O_FlightPlan,STA,datetime,Flight-0.41,计划到达时间（Scheduled Time of Arrival）
O_FlightPlan,aircraftType,string,Flight-0.41,计划使用机型
O_FlightPlan,planStatus,enum,Flight-0.41,计划状态：Draft（草稿）、Published（已发布）、Updated（已更新）、Archived（已归档）、Canceled（已取消）
O_FlightPlan,seasonType,enum,Flight-0.41,航季类型：Summer（夏季）、Winter（冬季）
O_FlightPlan,effectiveDate,datetime,Flight-0.41,计划生效日期
O_FlightPlan,expiryDate,datetime,Flight-0.41,计划失效日期
O_FlightPlan,objectLayer,string,Flight-0.41,固定值Ontology
O_FlightPlan,version,string,Flight-0.41,版本号
O_FlightPlan,description,string,Flight-0.41,"航班计划本体，描述航空公司或机场在航季内发布的计划航班时刻表信息。在现实世界中对应航班时刻表中的一条计划记录，包含计划起飞时间（STD）、计划到达时间（STA）、航线、机型等静态信息，在航季有效期内保持相对稳定，可能因调整产生版本变化。"
O_Flight,flightId,string,Flight-0.41,航班唯一标识符（通常为航班号+日期）
O_Flight,flightNumber,string,Flight-0.41,航班号
O_Flight,flightDate,date,Flight-0.41,航班日期
O_Flight,origin,string,Flight-0.41,起飞机场代码
O_Flight,destination,string,Flight-0.41,目的地机场代码
O_Flight,aircraftType,string,Flight-0.41,实际使用机型
O_Flight,registration,string,Flight-0.41,飞机注册号
O_Flight,status,enum,Flight-0.41,航班状态：Created（已创建）、Planned（已计划）、Active（活跃）、Departed（已起飞）、Arrived（已到达）、Landed（已落地）、Closed（已关闭）、Canceled（已取消）
O_Flight,STD,datetime,Flight-0.41,计划起飞时间
O_Flight,STA,datetime,Flight-0.41,计划到达时间
O_Flight,ETD,datetime,Flight-0.41,预计起飞时间（Estimated Time of Departure）
O_Flight,ETA,datetime,Flight-0.41,预计到达时间（Estimated Time of Arrival）
O_Flight,ATD,datetime,Flight-0.41,实际起飞时间（Actual Time of Departure）
O_Flight,ATA,datetime,Flight-0.41,实际到达时间（Actual Time of Arrival）
O_Flight,delayMinutes,int,Flight-0.41,延误分钟数
O_Flight,delayCode,string,Flight-0.41,延误代码
O_Flight,scheduleSource,string,Flight-0.41,数据来源系统
O_Flight,objectLayer,string,Flight-0.41,固定值Ontology
O_Flight,version,string,Flight-0.41,版本号
O_Flight,description,string,Flight-0.41,"运行航班本体，描述特定日期执行的航班实例的实时状态和时间演进信息。在现实世界中对应某一天某一班次的实际执行航班，具备计划时间、预计时间、实际时间三个时间维度（STD/ETD/ATD, STA/ETA/ATA），状态随航班执行过程从创建、计划、活跃、起飞、到达、落地到关闭逐步演进，是航班运行管理的核心对象。"
O_Event,eventId,string,Flight-0.41,事件唯一标识符
O_Event,eventType,string,Flight-0.41,事件类型名称
O_Event,eventTime,datetime,Flight-0.41,事件发生时间
O_Event,severity,enum,Flight-0.41,严重等级：Info（信息）、Warning（警告）、Critical（严重）
O_Event,sourceSystem,string,Flight-0.41,事件来源系统
O_Event,eventStatus,enum,Flight-0.41,事件状态：New（新建）、Processing（处理中）、Closed（已关闭）、Archived（已归档）
O_Event,createdAt,datetime,Flight-0.41,事件创建时间
O_Event,processedAt,datetime,Flight-0.41,事件开始处理时间
O_Event,closedAt,datetime,Flight-0.41,事件关闭时间
O_Event,objectLayer,string,Flight-0.41,固定值Ontology
O_Event,version,string,Flight-0.41,版本号
O_Event,description,string,Flight-0.41,"事件的抽象基类，描述系统对实体状态变化或关系变化的观测记录。在现实世界中对应业务系统检测到的状态改变事实，事件具备发生时间、严重等级、来源系统和自身生命周期状态（新建、处理中、已关闭、已归档），事件是触发自动化动作的唯一来源，不可修改只能关闭。"
O_FlightDelayedEvent,delayMinutes,int,Flight-0.41,延误时长（分钟）
O_FlightDelayedEvent,delayPhase,enum,Flight-0.41,延误阶段：DEP（起飞延误）、ARR（到达延误）、TURNAROUND（过站延误）
O_FlightDelayedEvent,reasonCode,string,Flight-0.41,延误原因代码
O_FlightDelayedEvent,reasonCategory,enum,Flight-0.41,延误原因类别：WX（天气）、ATC（空管）、TECH（技术）、OPS（运营）、MISC（其他）
O_FlightDelayedEvent,impactedFlightId,string,Flight-0.41,受影响的航班ID
O_FlightDelayedEvent,objectLayer,string,Flight-0.41,固定值Ontology
O_FlightDelayedEvent,version,string,Flight-0.41,版本号
O_FlightDelayedEvent,description,string,Flight-0.41,"航班延误事件，记录航班超过计划时间仍未起飞或到达的状态变化。在现实世界中对应航班实际起飞/到达时间晚于计划时间的事实，包含延误时长、延误阶段（起飞延误、到达延误、过站延误）和延误原因代码（天气WX、空管ATC、技术TECH、运营OPS等），是航班运行中最常见的异常事件类型。"
O_FlightPlanChangedEvent,changeType,enum,Flight-0.41,变更类型：TimeChange（时间调整）、RouteChange（航线变更）、AircraftChange（机型更换）、Cancellation（取消）
O_FlightPlanChangedEvent,oldSTD,datetime,Flight-0.41,原计划起飞时间
O_FlightPlanChangedEvent,newSTD,datetime,Flight-0.41,新计划起飞时间
O_FlightPlanChangedEvent,oldSTA,datetime,Flight-0.41,原计划到达时间
O_FlightPlanChangedEvent,newSTA,datetime,Flight-0.41,新计划到达时间
O_FlightPlanChangedEvent,changeReason,string,Flight-0.41,变更原因
O_FlightPlanChangedEvent,initiatedBy,string,Flight-0.41,变更发起方
O_FlightPlanChangedEvent,objectLayer,string,Flight-0.41,固定值Ontology
O_FlightPlanChangedEvent,version,string,Flight-0.41,版本号
O_FlightPlanChangedEvent,description,string,Flight-0.41,"航班计划变更事件，记录航班时刻表层面的调整变化。在现实世界中对应航空公司或机场对已发布航班计划的修改操作，包括时间调整、航线变更、机型更换、航班取消等变更类型，包含变更前后的时间对比和变更原因，触发计划层和执行层的同步更新。"
O_FlightDepartureEvent,departureTime,datetime,Flight-0.41,实际起飞时间
O_FlightDepartureEvent,runway,string,Flight-0.41,使用跑道编号
O_FlightDepartureEvent,actualWeight,int,Flight-0.41,实际起飞重量（千克）
O_FlightDepartureEvent,fuelOnBoard,int,Flight-0.41,机载燃油量（千克）
O_FlightDepartureEvent,objectLayer,string,Flight-0.41,固定值Ontology
O_FlightDepartureEvent,version,string,Flight-0.41,版本号
O_FlightDepartureEvent,description,string,Flight-0.41,"航班起飞事件，记录飞机实际离地起飞的时刻和关键参数。在现实世界中对应飞机从跑道起飞离开地面的瞬间，包含实际起飞时间、使用跑道、实际起飞重量、机载燃油量等信息，是航班状态从地面阶段转入空中阶段的标志事件。"
O_FlightArrivalEvent,arrivalTime,datetime,Flight-0.41,实际到达时间
O_FlightArrivalEvent,runway,string,Flight-0.41,使用跑道编号
O_FlightArrivalEvent,parkingStand,string,Flight-0.41,停靠机位编号
O_FlightArrivalEvent,blockTime,datetime,Flight-0.41,挡轮挡时间（飞机完全停稳）
O_FlightArrivalEvent,objectLayer,string,Flight-0.41,固定值Ontology
O_FlightArrivalEvent,version,string,Flight-0.41,版本号
O_FlightArrivalEvent,description,string,Flight-0.41,"航班到达事件，记录飞机降落并滑行至停机位的过程完成。在现实世界中对应飞机在目的地机场降落、脱离跑道并滑行至指定机位完成停靠的过程，包含实际到达时间、使用跑道、停靠机位和挡轮挡时间（Block Time），标志航班执行过程结束。"
O_ResourceConflictEvent,resourceType,enum,Flight-0.41,资源类型：Gate（登机口）、Stand（机位）、Runway（跑道）、Taxiway（滑行道）
O_ResourceConflictEvent,resourceId,string,Flight-0.41,冲突资源的唯一标识符
O_ResourceConflictEvent,conflictType,enum,Flight-0.41,冲突类型：TimeOverlap（时间重叠）、CapacityExceeded（容量超限）、TypeMismatch（类型不匹配）
O_ResourceConflictEvent,conflictingFlights,array<string>,Flight-0.41,产生冲突的航班ID列表
O_ResourceConflictEvent,conflictDescription,string,Flight-0.41,冲突详细描述
O_ResourceConflictEvent,objectLayer,string,Flight-0.41,固定值Ontology
O_ResourceConflictEvent,version,string,Flight-0.41,版本号
O_ResourceConflictEvent,description,string,Flight-0.41,"资源冲突事件，记录机场资源分配中出现的时间重叠、容量超限或类型不匹配等冲突情况。在现实世界中对应登机口、机位、跑道等稀缺资源被多个航班同时申请或分配不当的情况，包含冲突资源类型、冲突描述和涉及的航班列表，触发资源重新分配流程。"
O_GateReassignedEvent,flightId,string,Flight-0.41,航班唯一标识符
O_GateReassignedEvent,oldGateId,string,Flight-0.41,原登机口编号
O_GateReassignedEvent,newGateId,string,Flight-0.41,新登机口编号
O_GateReassignedEvent,reassignReason,string,Flight-0.41,重新分配原因
O_GateReassignedEvent,reassignTime,datetime,Flight-0.41,重新分配时间
O_GateReassignedEvent,objectLayer,string,Flight-0.41,固定值Ontology
O_GateReassignedEvent,version,string,Flight-0.41,版本号
O_GateReassignedEvent,description,string,Flight-0.41,"登机口重新分配事件，记录航班使用的登机口发生变更。在现实世界中对应因计划调整、延误、冲突等原因导致航班原定登机口无法使用而重新分配新登机口的操作，包含原登机口、新登机口、变更原因和变更时间，需通知旅客和地面保障单位。"
O_RunwayClosedEvent,runwayId,string,Flight-0.41,跑道唯一标识符
O_RunwayClosedEvent,closureReason,enum,Flight-0.41,关闭原因：Maintenance（维护）、Weather（天气）、Accident（事故）、FOD（外来物）
O_RunwayClosedEvent,closureStartTime,datetime,Flight-0.41,关闭开始时间
O_RunwayClosedEvent,closureEndTime,datetime,Flight-0.41,预计关闭结束时间
O_RunwayClosedEvent,impactedFlights,array<string>,Flight-0.41,受影响的航班列表
O_RunwayClosedEvent,objectLayer,string,Flight-0.41,固定值Ontology
O_RunwayClosedEvent,version,string,Flight-0.41,版本号
O_RunwayClosedEvent,description,string,Flight-0.41,"跑道关闭事件，记录跑道因维护、天气、事故或外来物等原因暂时不可用的状态变化。在现实世界中对应跑道从可用状态转为关闭状态的事实，包含关闭原因（维护、天气、事故、FOD外来物）、关闭时间段和影响的航班列表，影响机场起降容量和航班调度。"
